AttributeID,AttributeName,SortAttribute,AttributeDescriptionDE,Pset,AllowedValuesDE,RegexCheckDE,DataTyp,Unit,IFC2x3,IFC4,IFC4.3,Applicability,ProjectPhase,ProjectPhaseDE,ElementID,ModelID,WorkflowID,ServiceLevelDE,InformationProviderDE
Name_Nutzungseinheit,Name,1.0,Zusammenfassung aller modellierten Nettoräume einer Nutzungseinheit gemäss den in der Bestellung definierten Nutzungseinheiten. z.B. Administration,,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Nutzungseinheit,"Architektur Gesamtmodell inkl. Räumen,HLKSE Heizung-Kälte,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Spezialist Sicherheitsplanung","Datenübergabe in Bewirtschaftung BBL,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Visualisieren von Nutzungseinheiten / Kostenteileiler",Grundleistung,Planer (CDE oder Modell)
Name_HLKSE System Allgemein,Name,1.0,"Bezeichnung aus BTA Richtlinie, Kapitel 2.3.1.1 und fortlaufende Nummer.
Name muss eindeutig sein z.B. Brandmeldeanlage 1",,,,IfcLabel,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",HLKSE System Allgemein,"HLKSE Heizung-Kälte,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung,Spezialist Sicherheitsplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
Name_Werte für Raumtypen DIN 277-SIA 0165,Name,1.0,Raum Typ Bezeichnung gemäss 03_Raumtypen DIN 277-SIA 0165,,"HNF 1, HNF 1.1, HNF 1.2, HNF 1.3, HNF 1.4, HNF 1.5, HNF 1.6, HNF 2, HNF 2.1, HNF 2.2, HNF 2.3, HNF 2.4, HNF 2.5, HNF 2.6, HNF 2.8, HNF 2.9, HNF 3, HNF 3.1, HNF 3.2, HNF 3.3, HNF 3.4, HNF 3.5, HNF 3.6, HNF 3.7, HNF 3.8, HNF 3.9, HNF 4, HNF 4.1, HNF 4.2, HNF 4.3, HNF 4.4, HNF 4.5, HNF 4.6, HNF 5, HNF 5.1, HNF 5.2, HNF 5.3, HNF 5.4, HNF 5.5, HNF 5.6, HNF 5.7, HNF 5.8, HNF 5.9, HNF 6, HNF 6.2, HNF 6.3, HNF 6.4, HNF 6.5, HNF 6.6, HNF 6.7, HNF 6.8, NNF 7, NNF 7.1, NNF 7.2, NNF 7.3, NNF 7.4, NNF 7.5, NNF 7.6, NNF 7.7, FF 8, FF 8.1, FF 8.2, FF 8.3, FF 8.4, FF 8.5, FF 8.6, FF 8.7, FF 8.8, FF 8.9, VF 9, VF 9.1, VF 9.2, VF 9.3, VF 9.4, BUF 10.1, AGF, GF, GV, ",,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Werte für Raumtypen DIN 277-SIA 0165,Architektur Gesamtmodell inkl. Räumen,"Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm",Grundleistung,Planer (CDE oder Modell)
Name_eBKP-H Werte für Klassifizierung,Name,1.0,Alle Bauteile sind nach eBKP-H Gruppe und zweistelligen Zahlencode zu klassifizieren.,,^[A-Z]\d{2}\.\d{2}$,,,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung",eBKP-H Werte für Klassifizierung,"Architektur Gesamtmodell inkl. Räumen,HLKSE Heizung-Kälte,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung",Visualisieren der eBKP-h Zuordnung von Bauteilen für Plausibilisierungen,Grundleistung,Planer (CDE oder Modell)
PredefinedType_Geschossfläche,PredefinedType,1.0,"Im Attribut ""PredefinedTyp"" wird folgender Wert hinterlegt:

GFA  ... Geschossfläche (Gross Floor Area)
",,GFA,,,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,62 Erhaltung","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 62 Erhaltung",Geschossfläche,Architektur Geschossfläche,"Datenübergabe in Bewirtschaftung BBL,Projektstart mit BIM,Berechnen von SIA416 Volumenkennwerten",Grundleistung,Planer (CDE oder Modell)
Name_Material (mehrschichtig),Name,1.0,"Materialschichtaufbau nach Definition des Projektverfassers. z.B. Stahlbeton, Folie, Lattenrost (vertikal), Lamellen (horizontal)
",,,,IfcLabel,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Material (mehrschichtig),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung,Landschaftsarchitektur,Bauingenieur Tragwerk inkl. Sperrzonen","Datenübergabe in Bewirtschaftung BBL,Identifizieren von verbauten Produkten",Grundleistung,Planer (CDE oder Modell)
Name_Wand / Raumtrennungen,Name,1.0,"Element Typename nach dem Standard des Projektverfassers und soll nach einem differenzieren charakteristischen Merkmalen erfolgen. z.B. Material, Typ, Dimension, ... Es ist einzig auf Eindeutigkeit zu achten.

Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepfelgt werden muss.",,,,IfcLabel,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Wand / Raumtrennungen,"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung,Landschaftsarchitektur","Datenübergabe in Bewirtschaftung BBL,Identifizieren von verbauten Produkten",Grundleistung,Planer (CDE oder Modell)
Name_Material (einschichtig),Name,1.0,"Materialname nach Definition des Projektverfassers. z.B. Stahlbeton
Der Typ wird dafür genutzt um generelle Daten für die Dokumentation zu übergeben., sodass dies nicht auf jedem Element (Instanz) gepflegt werden muss.",,,,IfcLabel,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Material (einschichtig),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung,Landschaftsarchitektur,Bauingenieur Tragwerk inkl. Sperrzonen","Datenübergabe in Bewirtschaftung BBL,Identifizieren von verbauten Produkten",Grundleistung,Planer (CDE oder Modell)
Description_Projekt,Description,2.0,Projektname des Bauherren,,{Projektname},,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Projekt,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Wartung / Inspektion (OM),Projektstart mit BIM,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Inventar,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Zählen von Parkplätzen,Berechnen der Energiebezugsfläche",Grundleistung,Planer (CDE oder Modell)
Description_Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),Description,2.0,Eindeutige Typenbezeichnung nach Vorgabe des Projektverfassers. ,,,,IfcText,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Tür / Tor / Revisionsöffnung (eBKP-H: E03.02 / E03.03 / G01.05 / G01.06),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
Description_Gebäude / Bauwerke,Description,2.0,"Angabe des Rufnamens des Gebäudes, / Bezeichnung. z.B. Begegnungszentrum",,,,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Gebäude / Bauwerke,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Projektstart mit BIM",Grundleistung,Planer (CDE oder Modell)
Description_Aussenraum,Description,2.0,Raumbeschreibung (nicht zwingend) z.B. Konferenzsaal mit 24 Plätzen und Beamer,,,,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Aussenraum,Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
Description_Raum,Description,2.0,Raumbeschreibung (nicht zwingend) z.B. Konferenzsaal mit 24 Plätzen und Beamer,,,,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Raum,Architektur Gesamtmodell inkl. Räumen,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
Description_Geschoss / Stockwerk,Description,2.0,"Bezeichnung des Geschosses gemäss Klassifikation Geschosse: ""1. Obergeschoss""",,,,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Geschoss / Stockwerk,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Wartung / Inspektion (OM),Projektstart mit BIM,Inventar,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Zählen von Parkplätzen,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Berechnen der Energiebezugsfläche",Grundleistung,Planer (CDE oder Modell)
Description_Fenster / Oberlichter (eBKP-H: E03.01),Description,2.0,Eindeutige Typenbezeichnung nach Vorgabe des Projektverfassers. ,,,,IfcText,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Fenster / Oberlichter (eBKP-H: E03.01),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
Description_HLKSE System Allgemein,Description,2.0,BTA-Nr. gemäss Kennzeichnungssystematik BTA ,,,,,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",HLKSE System Allgemein,"HLKSE Elektroplanung,HLKSE Lichtplanung,HLKSE Heizung-Kälte,HLKSE Lüftung-Klima,HLKSE Gebäudeautomation,HLKSE Sanitärplanung,HLKSE Sprinklerplanung",,Grundleistung,Planer (CDE oder Modell)
LongName_Parkplatz,LongName,3.0,Raumbezeichnung gemäss Klassifikation Liste Raumtype bzw. Bestellung: Luftraum,,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Parkplatz,Architektur Gesamtmodell inkl. Räumen,"Berechnen von SIA416 Volumenkennwerten,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Zählen von Parkplätzen",Grundleistung,Planer (CDE oder Modell)
LongName_Luftraum (Geschossweise),LongName,3.0,Raumbezeichnung gemäss Klassifikation Liste Raumtype bzw. Bestellung: Luftraum,,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Luftraum (Geschossweise),Architektur Gesamtmodell inkl. Räumen,"Berechnen von SIA416 Volumenkennwerten,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Zählen von Parkplätzen",Grundleistung,Planer (CDE oder Modell)
PredefinedType_Architektonische Bauteil / Element (Allgemein),PredefinedType,4.0,"Um die Lesbar- und Weiterverwendbarkeit in anderen Softwaretools zu erhöhen, sollte wo immer möglich das Attribut PredefinedType nach IFC Standard gepflegt werden.",,,,,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Architektonische Bauteil / Element (Allgemein),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung,Landschaftsarchitektur,Spezialist Sicherheitsplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
PredefinedType_Aussparungen / Durchbrüche,PredefinedType,4.0,"Aussparungen werden folgendermassen gekennzeichnet:

- PROVISIONFORVOID ... Platzhalter für Aussparung",,PROVISIONFORVOID,,,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Aussparungen / Durchbrüche,HLKSE Aussparungen,,Grundleistung,Planer (CDE oder Modell)
PredefinedTyp_Raum,PredefinedTyp,4.0,"Standard IFC PredefinedType Wert: ""SPACE""",,SPACE,,IfcSpaceTypeEnum ,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Raum,Architektur Gesamtmodell inkl. Räumen,"Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm",Grundleistung,Planer (CDE oder Modell)
PredefinedType_Fenster / Oberlichter (eBKP-H: E03.01),PredefinedType,4.0,"Der PredefinedType ist eine standardisierte Typisierung, welche als Investition in die Zukunft und für einen besseren Datenaustausch geführt werden soll.

WINDOW ... Fenster in Wand
SKYLIGHT ... Dachfenster
LIGHTDOME ... Lichtkuppel
USERDEFINED ... alle anderen",,"WINDOW,  SKYLIGHT, LIGHTDOME, UNDEFINED",,,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Fenster / Oberlichter (eBKP-H: E03.01),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
PredefinedType_Sonnenschutz ,PredefinedType,4.0,"Gibt an um welche Art von Sonnenschutz es sich handelt.

JALOUSIE: Jalousie / Lamellen
SHUTTER: Fensterladen
AWNING: Markise",,"JALOUSIE
, SHUTTER
, AWNING",,,,checked,checked,checked,,"31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Sonnenschutz ,Fassadenplanung,Reinigung / Umgebungspflege,Grundleistung,Planer (CDE oder Modell)
PredefinedTyp_Luftraum (Geschossweise),PredefinedTyp,4.0,"Standard IFC PredefinedType Wert: ""SPACE""",,,,IfcSpaceTypeEnum ,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Luftraum (Geschossweise),Architektur Gesamtmodell inkl. Räumen,"Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm",Grundleistung,Planer (CDE oder Modell)
PredefinedType_Aussenoberflächen,PredefinedType,4.0,"Wertebereich: 
FLOORING ... Bodenbelag",,,,,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Aussenoberflächen,Landschaftsarchitektur,"Datenübergabe in Bewirtschaftung BBL,Reinigung / Umgebungspflege",Grundleistung,Planer (CDE oder Modell)
